,,,temp,temp,temp,temp,temp,temp,temp,temp
,,,count,mean,std,min,25%,50%,75%,max
Year,Month,Day,,,,,,,,
2021,2,23,24.0,10.108333333333333,1.861256393493073,7.8,8.35,10.100000000000001,11.6,13.6
2021,2,24,24.0,12.441666666666668,1.4482122912679998,10.8,11.0,13.0,13.35,15.4
2021,2,25,24.0,12.841666666666667,1.6544844636864107,10.4,11.700000000000001,12.6,13.850000000000001,16.2
2021,2,26,24.0,13.058333333333332,1.845774649834322,10.0,11.9,12.8,14.25,17.0
2021,2,27,24.0,11.441666666666668,1.7387943515842952,5.1,10.8,11.8,12.25,13.8
2021,2,28,24.0,8.658333333333333,1.4415923160856199,6.8,7.55,8.4,9.65,12.0
2021,3,1,24.0,8.966666666666667,2.4357244555138835,6.0,7.0,7.9,10.8,13.8
2021,3,2,24.0,10.541666666666666,1.4832152696867316,8.6,9.55,10.1,11.2,14.6
2021,3,3,24.0,9.791666666666666,0.9183712741051135,8.6,9.0,9.9,10.4,11.4
2021,3,4,24.0,8.691666666666666,1.623714653306522,7.0,7.4,8.3,9.399999999999999,12.4
2021,3,5,24.0,9.133333333333335,2.169886125376502,6.4,7.449999999999999,8.6,10.65,13.4
2021,3,6,24.0,5.316666666666667,2.2184339691237867,3.0,3.6,4.3,7.25,9.2
2021,3,7,24.0,5.466666666666668,0.9503622497748432,4.2,4.6,5.699999999999999,6.2,7.0
2021,3,8,24.0,6.641666666666667,2.0421464978890667,4.4,4.75,6.6,7.8,10.8
2021,3,9,24.0,6.25,0.7465864346127821,5.2,5.8,6.2,6.6499999999999995,7.6
2021,3,10,24.0,7.766666666666667,1.8637658620131972,5.8,6.2,7.5,8.8,12.2
2021,3,11,24.0,7.325,1.415212382279254,5.2,6.3500000000000005,7.2,8.05,10.6
2021,3,12,24.0,8.525,2.4085445722514125,5.2,6.449999999999999,8.6,10.45,12.4
2021,3,13,24.0,9.85,2.0711265575505773,7.8,8.2,9.0,11.1,14.8
2021,3,14,24.0,8.008333333333333,1.1135203348982379,6.0,6.95,8.5,8.8,9.6
2021,3,15,24.0,8.645833333333334,2.0523537212433554,6.2,6.6,8.9,10.55,12.0
2021,3,16,24.0,8.983333333333333,1.9336081763661803,6.8,7.2,8.1,10.7,13.4
2021,3,17,24.0,7.758333333333333,1.8490694878815377,5.2,6.0,7.8,8.950000000000001,11.0
2021,3,18,24.0,6.233333333333333,1.4466352764910737,4.0,5.15,6.0,7.1,9.0
2021,3,19,24.0,2.9000000000000004,1.2483031961687905,1.0,2.0,2.7,3.5,6.0
2021,3,20,24.0,3.516666666666667,2.152383242637892,0.6,1.55,3.7,5.05,7.6
2021,3,21,24.0,2.591666666666667,2.363842977692978,-0.4,0.0,2.7,4.05,7.0
2021,3,22,24.0,7.425,3.0715029602431785,3.8,4.2,7.7,9.55,13.0
2021,3,23,24.0,7.033333333333332,2.857585886976851,2.4,5.25,6.8,8.35,12.2
2021,3,24,24.0,9.416666666666666,3.4185767018843776,5.8,6.0,9.0,11.7,15.2
2021,3,25,24.0,10.275,2.495082119411843,7.0,8.4,9.6,11.549999999999999,15.6
2021,3,26,24.0,9.558333333333334,2.1174054399432927,7.0,8.0,9.0,11.1,14.2
2021,3,27,24.0,9.266666666666666,1.9690356648053287,7.0,7.75,9.0,11.0,13.0
2021,3,28,23.0,10.043478260869565,1.9558365071466859,7.8,8.2,9.4,11.899999999999999,13.8
2021,3,29,24.0,12.6,2.916817801467298,9.2,10.149999999999999,11.2,14.7,18.0
2021,3,30,24.0,14.241666666666667,2.6598327287495986,11.4,12.0,13.0,16.0,19.8
2021,3,31,24.0,14.866666666666667,2.5528614238292224,12.0,12.9,14.6,16.2,20.0
2021,4,1,24.0,15.583333333333334,2.440182934458642,12.0,13.9,14.600000000000001,17.3,20.2
2021,4,2,24.0,16.241666666666667,2.726985382315483,13.0,14.149999999999999,15.6,18.15,21.6
2021,4,3,24.0,14.291666666666666,1.8405851306550332,10.0,13.0,14.3,15.55,17.2
2021,4,4,24.0,10.225,2.3717999035771746,7.2,8.75,9.6,11.15,15.0
2021,4,5,24.0,9.875,2.3853265203522245,7.0,8.0,9.0,12.05,14.2
2021,4,6,24.0,8.858333333333334,2.2484616319041177,3.8,8.1,9.0,10.850000000000001,12.0
2021,4,7,24.0,5.341666666666666,3.0259625370057575,2.0,2.8,4.7,6.9,12.0
